"Select purchase option", "Kaufoption auswählen"
"Return deal", "Return deal"
"Edit %1", "Bearbeiten %1"
"Save money with a return deal", "Mit einem Return deal Geld sparen"
"Available return deals", "Verfügbare Return deals"
"Size", "Größe"
"Save %1 and reduce CO₂", "Spare %1 und reduziere CO₂"
"Reduce CO₂", "CO₂ reduzieren"
"View Item", "Mehr"
"Powered by It Goes Forward", "Bereitgestellt von It Goes Forward"
"Close listing", "Angebot schließen"
"Add Return Deal to Cart", "Return Deal zum Warenkorb hinzufügen"
"What is a return deal?", "Was ist ein Return deal?"
"%1 discount for a product which is in brand-new condition", "%1 Rabatt für ein Produkt im neuwertigen Zustand"
"Up to 40% less CO₂ emissions", "Bis zu 40% weniger CO₂-Emissionen"
"Anonymous shipping label", "Anonymes Versandetikett"
"Sent directly from another customer", "Direkt von einem anderen Kunden versandt"
"Shipped from our warehouse", "Aus unserem Lager versandt"
