"Select purchase option","Select purchase option"
"Return deal","Return deal"
"Edit %1","Edit %1"
"Save money with a return deal","Save money with a return deal"
"Available return deals","Available return deals"
"Size","Size"
"Save %1 and reduce CO₂","Save %1 and reduce CO₂"
"Reduce CO₂","Reduce CO₂"
"View Item","View Item"
"Powered by It Goes Forward","Powered by It Goes Forward"
"Close listing","Close listing"
"Add Return Deal to Cart","Add Return Deal to Cart"
"What is a return deal?","What is a return deal?"
"%1 discount for a product which is in brand-new condition","%1 discount for a product which is in brand-new condition"
"Up to 40% less CO₂ emissions","Up to 40% less CO₂ emissions"
"Anonymous shipping label","Anonymous shipping label"
"Sent directly from another customer","Sent directly from another customer"
"Shipped from our warehouse","Shipped from our warehouse"
